timestamp (UTC),ADCS.Attitude_Mode,ADCS.MTQ_Current_X,ADCS.MTQ_Current_Y,ADCS.MTQ_Current_Z,ADCS.Pointing_Error,ADCS.RW_Speed_X,ADCS.RW_Speed_Y,ADCS.RW_Speed_Z,Comms.Data_Backlog,Comms.Downlink_Data_Rate,Comms.Downlink_SNR,Comms.Tx_Power,EPS.Battery_Current,EPS.Battery_SoC,EPS.Battery_Voltage,EPS.Solar_Array_Current,Payload.Image_Store_Utilization,Payload.Imaging_Activity,Payload.Payload_Mode,Payload.Payload_Power_Draw,Platform.Event_Log,Platform.GNSS_Sats_Tracked,Platform.Latitude,Platform.Longitude,Platform.Memory_Usage,Platform.OBC_CPU_Load,Platform.Reset_Count,Platform.Satellite_Mode,Thermal.Battery_Temp,Thermal.Heater_Status_Batt,Thermal.OBC_Temp,Thermal.Payload_Temp
2025-12-23T17:28:54.517075061Z,,,,,,94,-40,194,,-7,-4.1,1,0.29,,27.64,0,,FALSE,,3.1,,9,0.8122,89.7767,,29,,,,,,
2025-12-23T17:28:55.517075061Z,,,,,0.082,96,-41,188,,-3,-4.4,0,0.26,,27.68,-0.03,,FALSE,,2.9,,8,0.7461,89.7633,49,28,,,,,19.8,19.6
2025-12-23T17:28:56.517075061Z,,,,,,95,-40,203,,7,-6.5,0,0.29,,27.66,-0.09,,FALSE,,2.9,,8,0.6801,89.7499,,37,,,,,,
2025-12-23T17:28:57.517075061Z,,,,,0.038,115,-43,185,,7,-5.5,0,0.32,,27.68,0.01,,FALSE,,2.8,,7,0.614,89.7365,52,22,,,,,19.8,19.5
2025-12-23T17:28:58.517075061Z,,0.1,0.1,0,,108,-27,192,,-5,-6.7,1,0.26,,27.66,0.02,,FALSE,,3.6,"Imaging capture completed, returning to standby | Ground contact lost, downlink sequence terminated | Momentum dump completed, reaction wheels desaturated | Battery heater deactivated, temperature nominal",6,0.548,89.723,,33,,,,,,
2025-12-23T17:28:59.517075061Z,,,,,0.027,111,-36,189,,6,-4.5,0,0.3,,27.68,-0.02,,FALSE,,2.7,,7,0.4819,89.7096,51,22,,,,,19.4,19.3
2025-12-23T17:29:00.517075061Z,,,,,,123,-21,190,,4,-5.8,-2,0.39,,27.64,0.1,,FALSE,,2.8,,7,0.4158,89.6962,,35,,,,,,
2025-12-23T17:29:01.517075061Z,,,,,0.039,104,-11,182,,2,-4.8,1,0.18,,27.69,0.1,,FALSE,,2.8,,9,0.3498,89.6828,49,36,,,,,19.5,20.2
2025-12-23T17:29:02.517075061Z,,,,,,102,-5,199,,11,-6.1,-1,0.33,,27.7,0.02,,FALSE,,3.1,,9,0.2837,89.6694,,37,,,,,,
2025-12-23T17:29:03.517075061Z,,0,0,0,0.085,113,-11,185,100,-6,-4.1,0,0.25,80.3,27.72,0,,FALSE,,2.6,"System nominal, all subsystems operating normally",8,0.2176,89.656,49,32,,,14.5,FALSE,19,19.1
2025-12-23T17:29:04.517075061Z,,,,,,98,-15,196,,2,-5.3,0,0.37,,27.69,-0.01,,FALSE,,3.6,,11,0.1516,89.6426,,36,,,,,,
2025-12-23T17:29:05.517075061Z,,,,,-0.008,104,-4,197,,-1,-3.4,-1,0.35,,27.65,0.06,,FALSE,,3.1,,10,0.0855,89.6292,49,31,,,,,19.3,19.6
2025-12-23T17:29:06.517075061Z,,,,,,106,-16,190,,4,-4.8,0,0.32,,27.65,-0.04,,FALSE,,3.7,,8,0.0195,89.6158,,38,,,,,,
2025-12-23T17:29:07.517075061Z,,,,,0.045,98,-10,180,,-3,-5.5,1,0.29,,27.66,-0.07,,FALSE,,2.9,,8,-0.0466,89.6024,49,21,,,,,19.2,19
2025-12-23T17:29:08.517075061Z,,0.1,0,0,,104,3,201,,6,-4.3,1,0.3,,27.64,-0.08,,FALSE,,1.3,"System nominal, all subsystems operating normally",9,-0.1127,89.589,,29,,,,,,
2025-12-23T17:29:09.517075061Z,,,,,0.097,99,8,205,,1,-5.6,0,0.31,,27.66,0.03,,FALSE,,2.8,,8,-0.1787,89.5756,49,27,,,,,18.6,19
2025-12-23T17:29:10.517075061Z,,,,,,114,15,193,,2,-5.3,-1,0.35,,27.68,-0.03,,FALSE,,2.9,,9,-0.2448,89.5622,,24,,,,,,
2025-12-23T17:29:11.517075061Z,,,,,0.068,109,9,190,,9,-5.5,1,0.31,,27.66,0.01,,FALSE,,3.2,,10,-0.3109,89.5488,49,40,,,,,19,18.3
2025-12-23T17:29:12.517075061Z,,,,,,114,11,183,,1,-4.6,2,0.35,,27.69,-0.04,,FALSE,,3.5,,10,-0.3769,89.5354,,33,,,,,,
2025-12-23T17:29:13.517075061Z,,0,0.1,0,0.082,114,7,184,100,-3,-3,-1,0.29,80.4,27.65,0.01,,FALSE,,4.5,"System nominal, all subsystems operating normally",10,-0.443,89.522,49,37,,,14.2,FALSE,18.9,18.4
2025-12-23T17:29:14.517075061Z,,,,,,125,-5,174,,4,-5.2,0,0.35,,27.67,-0.03,,FALSE,,2.8,,8,-0.509,89.5086,,31,,,,,,
2025-12-23T17:29:15.517075061Z,,,,,0.019,129,3,183,,-3,-6,0,0.35,,27.68,0.02,,FALSE,,2.9,,10,-0.5751,89.4952,49,28,,,,,18.6,18.6
2025-12-23T17:29:16.517075061Z,,,,,,124,-5,184,,4,-5.2,-1,0.22,,27.68,-0.01,,FALSE,,2.4,,10,-0.6412,89.4817,,26,,,,,,
2025-12-23T17:29:17.517075061Z,,,,,0.05,104,0,185,,2,-4.8,-1,0.26,,27.68,0.01,,FALSE,,2.8,,10,-0.7072,89.4683,48,30,,,,,18.6,17.8
2025-12-23T17:29:18.517075061Z,,-0.1,0.1,0,,108,2,191,,-6,-4.8,1,0.28,,27.66,0.13,,FALSE,,3.7,"System nominal, all subsystems operating normally",10,-0.7733,89.4549,,29,,,,,,
2025-12-23T17:29:19.517075061Z,,,,,1.036,107,2,185,,0,-4.8,0,1.16,,27.58,-0.1,,TRUE,,24.4,,8,-0.8394,89.4415,48,79,,,,,18.5,18.1
2025-12-23T17:29:20.517075061Z,,,,,,119,1,182,,5,-4.6,-1,1.07,,27.58,-0.01,,TRUE,,24.4,,9,-0.9054,89.4281,,80,,,,,,
